Date,Open,High,Low,Close,Adj Close,Volume
2020-07-22,1.660000,1.660000,1.580000,1.610000,1.610000,169136
2020-07-23,1.610000,1.640000,1.590000,1.590000,1.590000,100782
2020-07-24,1.630000,1.630000,1.510000,1.549900,1.549900,133511
2020-07-27,1.520000,1.580000,1.490000,1.533400,1.533400,100359
2020-07-28,1.020000,1.566880,1.020000,1.510000,1.510000,82627
2020-07-29,1.510000,1.550000,1.506600,1.520000,1.520000,84702
2020-07-30,1.260000,1.525000,1.260000,1.479160,1.479160,193852
2020-07-31,1.470000,1.480000,1.380900,1.397300,1.397300,178056
2020-08-03,1.370000,1.560000,1.370000,1.484400,1.484400,127262
2020-08-04,1.220000,1.600000,1.220000,1.380000,1.380000,229303
2020-08-05,1.350000,1.420000,1.260100,1.320000,1.320000,256866
2020-08-06,1.305000,1.359200,1.040000,1.170000,1.170000,757152
2020-08-07,1.135000,1.450000,1.135000,1.360000,1.360000,275295
2020-08-10,1.245000,1.480000,1.245000,1.310000,1.310000,230801
2020-08-11,1.500000,1.500000,1.310000,1.420000,1.420000,246973
2020-08-12,1.450000,1.450000,1.350000,1.390000,1.390000,86773
2020-08-13,1.430000,1.430000,1.330000,1.390000,1.390000,156915
2020-08-14,1.430000,1.430000,1.250000,1.310000,1.310000,121268
2020-08-17,1.240000,1.440000,1.240000,1.418100,1.418100,141427
2020-08-18,1.430000,1.490000,1.400000,1.460000,1.460000,197356
2020-08-19,1.270000,1.630000,1.270000,1.610000,1.610000,462878
2020-08-20,1.640000,1.980000,1.630000,1.980000,1.980000,713708
2020-08-21,2.020000,2.100000,1.760100,1.870000,1.870000,506082
2020-08-24,1.885000,1.950000,1.770000,1.815500,1.815500,331070
2020-08-25,1.810000,1.880000,1.780000,1.880000,1.880000,140554
2020-08-26,1.790000,1.930000,1.780000,1.850000,1.850000,156771
2020-08-27,2.570000,2.570000,1.820000,1.850000,1.850000,182525
2020-08-28,1.950000,2.020000,1.880000,2.000000,2.000000,512049
2020-08-31,1.960000,2.600000,1.960000,2.540000,2.540000,781251
2020-09-01,2.250000,2.540000,2.250000,2.445870,2.445870,357618
2020-09-02,2.400000,2.795000,2.198000,2.335200,2.335200,270097
2020-09-03,2.620000,2.620000,1.995100,2.000000,2.000000,416790
2020-09-04,2.080000,2.204720,1.900000,2.144000,2.144000,342946
2020-09-08,2.000000,2.248000,2.000000,2.100000,2.100000,192983
2020-09-09,2.400000,2.400000,2.056200,2.070000,2.070000,102542
2020-09-10,2.070000,2.119400,2.022900,2.055200,2.055200,120082
2020-09-11,2.095100,2.100000,2.000000,2.010000,2.010000,182210
2020-09-14,2.100000,2.100000,2.040000,2.065130,2.065130,182592
2020-09-15,2.100000,2.100000,1.998000,2.010000,2.010000,79664
2020-09-16,2.015000,2.015000,1.810000,1.845600,1.845600,423306
2020-09-17,1.900000,2.110000,1.795000,2.040000,2.040000,464798
2020-09-18,2.100000,2.150000,1.990000,1.993600,1.993600,201893
2020-09-21,2.100000,2.100000,1.860000,1.906400,1.906400,171371
2020-09-22,2.050000,2.050000,1.800000,1.850000,1.850000,240688
2020-09-23,1.850000,1.870000,1.730000,1.753200,1.753200,199557
2020-09-24,1.800000,1.940000,1.780000,1.790000,1.790000,95537
2020-09-25,1.839600,1.871600,1.793790,1.850000,1.850000,66197
2020-09-28,1.860000,1.870000,1.750000,1.789500,1.789500,160405
2020-09-29,1.797400,1.840000,1.750000,1.765600,1.765600,79138
2020-09-30,1.700000,1.870000,1.700000,1.850000,1.850000,56037
2020-10-01,1.530000,1.950000,1.530000,1.800000,1.800000,104508
2020-10-02,1.800000,1.800000,1.680100,1.729500,1.729500,190928
2020-10-05,1.690000,1.790000,1.670000,1.751800,1.751800,244802
2020-10-06,1.680000,2.300000,1.680000,1.688400,1.688400,313158
2020-10-07,1.635000,1.750000,1.600000,1.679920,1.679920,193911
2020-10-08,2.360000,2.360000,1.580000,1.600000,1.600000,375191
2020-10-09,1.560000,1.680000,1.530000,1.569500,1.569500,213373
2020-10-12,1.535000,1.710000,1.535000,1.640000,1.640000,81009
2020-10-13,1.620000,1.690000,1.602900,1.660000,1.660000,71905
2020-10-14,1.700000,1.730000,1.630000,1.630000,1.630000,103879
2020-10-15,1.630000,1.670000,1.560000,1.625700,1.625700,120492
2020-10-16,1.660600,1.660600,1.550000,1.565900,1.565900,144636
2020-10-19,1.572590,1.595000,1.500000,1.540000,1.540000,155528
2020-10-20,1.540000,1.700000,1.540000,1.677400,1.677400,148145
2020-10-21,1.570000,1.810000,1.450000,1.690000,1.690000,364597
2020-10-22,1.800000,1.800000,1.668500,1.670000,1.670000,92842
2020-10-23,1.650000,1.720000,1.650000,1.710000,1.710000,91841
2020-10-26,1.800000,1.800000,1.650000,1.668000,1.668000,177904
2020-10-27,1.800000,1.820000,1.700000,1.780000,1.780000,123357
2020-10-28,1.830000,1.830000,1.646800,1.680000,1.680000,144647
2020-10-29,1.650000,1.775800,1.623500,1.700000,1.700000,122083
2020-10-30,1.745000,1.800000,1.650000,1.678100,1.678100,382077
2020-11-02,1.620000,1.800000,1.620000,1.800000,1.800000,151320
2020-11-03,1.855000,1.910000,1.760000,1.790000,1.790000,193028
2020-11-04,1.890000,1.890000,1.750000,1.810000,1.810000,72071
2020-11-05,1.847300,1.910000,1.764900,1.859700,1.859700,541058
2020-11-06,1.883000,1.970000,1.850000,1.970000,1.970000,213959
2020-11-09,2.170000,2.230000,1.965900,2.085000,2.085000,397978
2020-11-10,2.300000,2.300000,2.060000,2.079800,2.079800,267915
2020-11-11,2.070000,2.150000,2.006200,2.110000,2.110000,338107
2020-11-12,2.300000,2.300000,2.050000,2.165600,2.165600,381281
2020-11-13,2.260000,2.300800,2.200000,2.291750,2.291750,383049
2020-11-16,2.300000,2.510000,2.300000,2.450000,2.450000,602574
2020-11-17,2.930000,2.930000,2.502500,2.700000,2.700000,665860
2020-11-18,2.790000,2.820000,2.393700,2.430000,2.430000,847665
2020-11-19,2.660000,2.660000,2.220000,2.482600,2.482600,483612
2020-11-20,2.517400,2.600000,2.480000,2.515200,2.515200,226796
2020-11-23,2.700000,2.820000,2.600000,2.700000,2.700000,612274
2020-11-24,2.940000,2.940000,2.736400,2.872020,2.872020,575506
2020-11-25,3.000000,3.140000,2.800000,3.093800,3.093800,738274
2020-11-27,3.400000,3.550000,3.298600,3.510000,3.510000,641481
2020-11-30,4.000000,4.000000,3.530000,3.770000,3.770000,1186437
2020-12-01,3.950000,3.950000,3.085920,3.384100,3.384100,1144163
2020-12-02,3.490000,3.490000,3.000000,3.065000,3.065000,740408
2020-12-03,3.360000,3.369000,2.967900,3.320000,3.320000,675261
2020-12-04,3.400000,3.470000,3.170000,3.170000,3.170000,252317
2020-12-07,3.170000,3.480000,3.150000,3.413000,3.413000,495610
2020-12-08,3.470000,3.470000,3.130000,3.357000,3.357000,328076
2020-12-09,3.440000,3.440000,3.150000,3.190000,3.190000,248112
2020-12-10,3.180000,3.250000,3.110000,3.180000,3.180000,199606
2020-12-11,3.100000,3.320000,3.100000,3.210000,3.210000,266975
2020-12-14,3.207000,3.309800,3.010000,3.080000,3.080000,391837
2020-12-15,3.070000,3.210000,2.843400,3.030000,3.030000,554881
2020-12-16,2.900000,3.030000,2.830000,2.860000,2.860000,362115
2020-12-17,2.950000,2.950000,2.650000,2.700000,2.700000,487717
2020-12-18,2.440000,2.780000,2.330000,2.670000,2.670000,557167
2020-12-21,2.755000,3.039700,2.544100,2.840800,2.840800,661152
2020-12-22,3.100000,3.102500,2.800000,3.030000,3.030000,368946
2020-12-23,3.130000,3.230000,3.070000,3.143900,3.143900,336708
2020-12-24,3.210000,3.210000,2.870000,3.040000,3.040000,178703
